tweet,cleaning,case_folding,tokenize,stopword_removal,stemming,entity,sentiment
"Hallo, sobat Nedutase Lepas Sambut Kepala SMK Negeri 2 Kota Tangerang Selatan Terima kasih Ibu Hj. Dwi Novi Hardani S.Pd Dan selamat datang Bpk. Akhmad Basuni, S.Pd.I, MA.Pd",Hallo sobat Nedutase Lepas Sambut Kepala SMK Negeri  Kota Tangerang Selatan Terima kasih Ibu Hj Dwi Novi Hardani SPd Dan selamat datang Bpk Akhmad Basuni SPdI MAPd,hallo sobat nedutase lepas sambut kepala smk negeri  kota tangerang selatan terima kasih ibu hj dwi novi hardani spd dan selamat datang bpk akhmad basuni spdi mapd,"['hallo', 'sobat', 'nedutase', 'lepas', 'sambut', 'kepala', 'smk', 'negeri', 'kota', 'tangerang', 'selatan', 'terima', 'kasih', 'ibu', 'hj', 'dwi', 'novi', 'hardani', 'spd', 'dan', 'selamat', 'datang', 'bpk', 'akhmad', 'basuni', 'spdi', 'mapd']","['hallo', 'sobat', 'nedutase', 'lepas', 'sambut', 'kepala', 'smk', 'tangerang', 'selatan', 'terima', 'kasih', 'hj', 'dwi', 'novi', 'hardani', 'spd', 'selamat', 'bpk', 'akhmad', 'basuni', 'spdi', 'mapd']",hallo sobat nedutase lepas sambut kepala smk tangerang selatan terima kasih hj dwi novi hardani spd selamat bpk akhmad basuni spdi mapd,Daihatsu,Netral
Shin Tae-yong selaku pelatih kepala Timnas Indonesia didampingi Ricky Kambuaya mengikuti Pre Match Press Conference jelang laga kontra Filipina dalam gelaran Piala AFF 2022 pada Minggu (1/1)...,Shin Taeyong selaku pelatih kepala Timnas Indonesia didampingi Ricky Kambuaya mengikuti Pre Match Press Conference jelang laga kontra Filipina dalam gelaran Piala AFF  pada Minggu ,shin taeyong selaku pelatih kepala timnas indonesia didampingi ricky kambuaya mengikuti pre match press conference jelang laga kontra filipina dalam gelaran piala aff  pada minggu ,"['shin', 'taeyong', 'selaku', 'pelatih', 'kepala', 'timnas', 'indonesia', 'didampingi', 'ricky', 'kambuaya', 'mengikuti', 'pre', 'match', 'press', 'conference', 'jelang', 'laga', 'kontra', 'filipina', 'dalam', 'gelaran', 'piala', 'aff', 'pada', 'minggu']","['shin', 'taeyong', 'pelatih', 'kepala', 'timnas', 'didampingi', 'ricky', 'kambuaya', 'mengikuti', 'pre', 'match', 'press', 'conference', 'jelang', 'laga', 'kontra', 'filipina', 'gelaran', 'minggu']",shin taeyong latih kepala timnas damping ricky kambuaya ikut pre match press conference jelang laga kontra filipina gelar minggu,Mitsubishi,Netral
SUZUKI XL 7 Jawabannya! Tampilan eksterior Suzuki XL7 tampil lebih gagah. Grill hadir dengan tambahan nuansa chrome membuatnya lebih mewah. Desain bumper dan foglamp kini terlihat menonjolkan...,SUZUKI XL  Jawabannya Tampilan eksterior Suzuki XL tampil lebih gagah Grill hadir dengan tambahan nuansa chrome membuatnya lebih mewah Desain bumper dan foglamp kini terlihat menonjolkan,suzuki xl  jawabannya tampilan eksterior suzuki xl tampil lebih gagah grill hadir dengan tambahan nuansa chrome membuatnya lebih mewah desain bumper dan foglamp kini terlihat menonjolkan,"['suzuki', 'xl', 'jawabannya', 'tampilan', 'eksterior', 'suzuki', 'xl', 'tampil', 'lebih', 'gagah', 'grill', 'hadir', 'dengan', 'tambahan', 'nuansa', 'chrome', 'membuatnya', 'lebih', 'mewah', 'desain', 'bumper', 'dan', 'foglamp', 'kini', 'terlihat', 'menonjolkan']","['jawabannya', 'tampilan', 'eksterior', 'tampil', 'gagah', 'grill', 'hadir', 'tambahan', 'nuansa', 'chrome', 'membuatnya', 'mewah', 'desain', 'bumper', 'foglamp', 'menonjolkan']",jawab tampil eksterior tampil gagah grill hadir tambah nuansa chrome buat mewah desain bumper foglamp tonjol,Suzuki,Positif
Baru saja mengirim foto @ TOYOTA PERINTIS GATSU MEDANTranslate post,Baru saja mengirim foto  TOYOTA PERINTIS GATSU MEDANTranslate post,baru saja mengirim foto  toyota perintis gatsu medantranslate post,"['baru', 'saja', 'mengirim', 'foto', 'toyota', 'perintis', 'gatsu', 'medantranslate', 'post']","['mengirim', 'foto', 'perintis', 'gatsu', 'medantranslate']",kirim foto rintis gatsu medantranslate,Toyota,Netral
"Semifinal AFF Mitsubishi Electric Cup 2022 Timnas Indonesia akan menghadapi Vietnam, Indonesia menjadi tuan rumah terlebih dahulu. Duel Shin Tae Yong vs Park Hang Seo akan kembali tersaji ??...",Semifinal AFF Mitsubishi Electric Cup  Timnas Indonesia akan menghadapi Vietnam Indonesia menjadi tuan rumah terlebih dahulu Duel Shin Tae Yong vs Park Hang Seo akan kembali tersaji ,semifinal aff mitsubishi electric cup  timnas indonesia akan menghadapi vietnam indonesia menjadi tuan rumah terlebih dahulu duel shin tae yong vs park hang seo akan kembali tersaji ,"['semifinal', 'aff', 'mitsubishi', 'electric', 'cup', 'timnas', 'indonesia', 'akan', 'menghadapi', 'vietnam', 'indonesia', 'menjadi', 'tuan', 'rumah', 'terlebih', 'dahulu', 'duel', 'shin', 'tae', 'yong', 'vs', 'park', 'hang', 'seo', 'akan', 'kembali', 'tersaji']","['semifinal', 'cup', 'timnas', 'menghadapi', 'tuan', 'duel', 'shin', 'tae', 'yong', 'vs', 'park', 'hang', 'seo', 'tersaji']",semifinal cup timnas hadap tuan duel shin tae yong vs park hang seo saji,Mitsubishi,Netral
"Hari Perlawanan 5 | Selasa, 3 Januari 2023 Kumpulan B • Piala Mitsubishi Electric AFF 2022 ⚽️ MALAYSIA ?? ?️ ?? SINGAPURA ? 8.30 malam ini ? Stadium Nasional, Bukit...",Hari Perlawanan   Selasa  Januari  Kumpulan B  Piala Mitsubishi Electric AFF   MALAYSIA    SINGAPURA   malam ini  Stadium Nasional Bukit,hari perlawanan   selasa  januari  kumpulan b  piala mitsubishi electric aff   malaysia    singapura   malam ini  stadium nasional bukit,"['hari', 'perlawanan', 'selasa', 'januari', 'kumpulan', 'b', 'piala', 'mitsubishi', 'electric', 'aff', 'malaysia', 'singapura', 'malam', 'ini', 'stadium', 'nasional', 'bukit']","['perlawanan', 'selasa', 'januari', 'kumpulan', 'malaysia', 'singapura', 'malam', 'stadium', 'nasional', 'bukit']",lawan selasa januari kumpul malaysia singapura malam stadium nasional bukit,Mitsubishi,Netral
"Terima kasih kepada 65,147 orang penyokong yang hadir menyaksikan aksi terakhir Kumpulan B, Piala Mitsubishi Electric AFF 2022, Malaysia lwn Singapura di Stadium Nasional, Bukit Jalil, malam...",Terima kasih kepada  orang penyokong yang hadir menyaksikan aksi terakhir Kumpulan B Piala Mitsubishi Electric AFF  Malaysia lwn Singapura di Stadium Nasional Bukit Jalil malam,terima kasih kepada  orang penyokong yang hadir menyaksikan aksi terakhir kumpulan b piala mitsubishi electric aff  malaysia lwn singapura di stadium nasional bukit jalil malam,"['terima', 'kasih', 'kepada', 'orang', 'penyokong', 'yang', 'hadir', 'menyaksikan', 'aksi', 'terakhir', 'kumpulan', 'b', 'piala', 'mitsubishi', 'electric', 'aff', 'malaysia', 'lwn', 'singapura', 'di', 'stadium', 'nasional', 'bukit', 'jalil', 'malam']","['terima', 'kasih', 'penyokong', 'hadir', 'menyaksikan', 'aksi', 'kumpulan', 'malaysia', 'lwn', 'singapura', 'stadium', 'nasional', 'bukit', 'jalil', 'malam']",terima kasih sokong hadir saksi aksi kumpul malaysia lwn singapura stadium nasional bukit jalil malam,Mitsubishi,Positif
"? Pasukan kebangsaan ?? akan bertemu Thailand ?? pada aksi timbal balik peringkat separuh akhir Piala Mitsubishi Electric AFF 2022! Selamat berjuang, Harimau Malaya! ? #AFFMitsubi...", Pasukan kebangsaan  akan bertemu Thailand  pada aksi timbal balik peringkat separuh akhir Piala Mitsubishi Electric AFF  Selamat berjuang Harimau Malaya  AFFMitsubi, pasukan kebangsaan  akan bertemu thailand  pada aksi timbal balik peringkat separuh akhir piala mitsubishi electric aff  selamat berjuang harimau malaya  affmitsubi,"['pasukan', 'kebangsaan', 'akan', 'bertemu', 'thailand', 'pada', 'aksi', 'timbal', 'balik', 'peringkat', 'separuh', 'akhir', 'piala', 'mitsubishi', 'electric', 'aff', 'selamat', 'berjuang', 'harimau', 'malaya', 'affmitsubi']","['pasukan', 'kebangsaan', 'bertemu', 'thailand', 'aksi', 'timbal', 'peringkat', 'separuh', 'selamat', 'berjuang', 'harimau', 'malaya', 'affmitsubi']",pasu bangsa temu thailand aksi timbal peringkat paruh selamat juang harimau malaya affmitsubi,Mitsubishi,Positif
For Sale Toyota Crown Lele... Custom 2 pintu.. Kondisi rapi mulus... SS komplit... Mesin lari Interior top.. Penasaran bisa langsung di WhatsApp aja info lengkap dan harga : 082213701648Translate post,For Sale Toyota Crown Lele Custom  pintu Kondisi rapi mulus SS komplit Mesin lari Interior top Penasaran bisa langsung di WhatsApp aja info lengkap dan harga  Translate post,for sale toyota crown lele custom  pintu kondisi rapi mulus ss komplit mesin lari interior top penasaran bisa langsung di whatsapp aja info lengkap dan harga  translate post,"['for', 'sale', 'toyota', 'crown', 'lele', 'custom', 'pintu', 'kondisi', 'rapi', 'mulus', 'ss', 'komplit', 'mesin', 'lari', 'interior', 'top', 'penasaran', 'bisa', 'langsung', 'di', 'whatsapp', 'aja', 'info', 'lengkap', 'dan', 'harga', 'translate', 'post']","['for', 'sale', 'crown', 'lele', 'custom', 'pintu', 'kondisi', 'rapi', 'mulus', 'ss', 'komplit', 'mesin', 'lari', 'interior', 'top', 'penasaran', 'whatsapp', 'lengkap']",for sale crown lele custom pintu kondisi rapi mulus ss komplit mesin lari interior top penasaran whatsapp lengkap,Toyota,Positif
CAP BAGASI ERTIGA 2019 BERANGKAT KE BENGKEL MOBIL DI KOTA GRESIK JAWA TIMUR https://youtu.be/VKtl6RlsMcQ lewat @YouTubeTranslate post,CAP BAGASI ERTIGA  BERANGKAT KE BENGKEL MOBIL DI KOTA GRESIK JAWA TIMUR  lewat  post,cap bagasi ertiga  berangkat ke bengkel mobil di kota gresik jawa timur  lewat  post,"['cap', 'bagasi', 'ertiga', 'berangkat', 'ke', 'bengkel', 'mobil', 'di', 'kota', 'gresik', 'jawa', 'timur', 'lewat', 'post']","['cap', 'bagasi', 'berangkat', 'bengkel', 'gresik', 'jawa', 'timur']",cap bagasi berangkat bengkel gresik jawa timur,Suzuki,Netral
